driver_name,nationality,year,grid,position,points,laps,milliseconds,fastestLapSpeed,statusId,finished,podium
Fernando Alonso,Spanish,2010,3.0,1.0,25.0,49,5960396.0,191.706,1,1,1
Felipe Massa,Brazilian,2010,2.0,2.0,18.0,49,5976495.0,189.392,1,1,1
Lewis Hamilton,British,2010,4.0,3.0,15.0,49,5983578.0,189.665,1,1,1
Sebastian Vettel,German,2010,1.0,4.0,12.0,49,5999195.0,188.627,1,1,0
Nico Rosberg,German,2010,5.0,5.0,10.0,49,6000609.0,188.599,1,1,0
Michael Schumacher,German,2010,7.0,6.0,8.0,49,6004559.0,188.649,1,1,0
Jenson Button,British,2010,8.0,7.0,6.0,49,6005676.0,189.017,1,1,0
Mark Webber,Australian,2010,6.0,8.0,4.0,49,6006756.0,189.781,1,1,0
Vitantonio Liuzzi,Italian,2010,12.0,9.0,2.0,49,6013404.0,189.118,1,1,0
Rubens Barrichello,Brazilian,2010,11.0,10.0,1.0,49,6022885.0,189.233,1,1,0
Robert Kubica,Polish,2010,9.0,11.0,0.0,49,6029489.0,188.226,1,1,0
Adrian Sutil,German,2010,10.0,12.0,0.0,49,6043354.0,189.93,1,1,0
Jaime Alguersuari,Spanish,2010,18.0,13.0,0.0,49,6053052.0,189.026,1,1,0
Nico Hülkenberg,German,2010,13.0,14.0,0.0,48,,186.789,11,0,0
Heikki Kovalainen,Finnish,2010,21.0,15.0,0.0,47,,184.81,12,0,0
Sébastien Buemi,Swiss,2010,15.0,16.0,0.0,46,,188.844,10,0,0
Jarno Trulli,Italian,2010,20.0,17.0,0.0,46,,184.465,9,0,0
Jenson Button,British,2010,4.0,1.0,25.0,58,5616531.0,213.804,1,1,1
Robert Kubica,Polish,2010,9.0,2.0,18.0,58,5628565.0,213.138,1,1,1
Felipe Massa,Brazilian,2010,5.0,3.0,15.0,58,5631019.0,213.216,1,1,1
Fernando Alonso,Spanish,2010,3.0,4.0,12.0,58,5632835.0,212.812,1,1,0
Nico Rosberg,German,2010,6.0,5.0,10.0,58,5633214.0,215.742,1,1,0
Lewis Hamilton,British,2010,11.0,6.0,8.0,58,5646429.0,215.7,1,1,0
Vitantonio Liuzzi,Italian,2010,13.0,7.0,6.0,58,5676378.0,212.865,1,1,0
Rubens Barrichello,Brazilian,2010,8.0,8.0,4.0,58,5677067.0,213.998,1,1,0
Mark Webber,Australian,2010,2.0,9.0,2.0,58,5683850.0,216.061,1,1,0
Michael Schumacher,German,2010,7.0,10.0,1.0,58,5685922.0,214.058,1,1,0
Jaime Alguersuari,Spanish,2010,17.0,11.0,0.0,58,5687832.0,212.798,1,1,0
Pedro de la Rosa,Spanish,2010,14.0,12.0,0.0,58,5690615.0,210.745,1,1,0
Heikki Kovalainen,Finnish,2010,19.0,13.0,0.0,56,,203.878,12,0,0
Karun Chandhok,Indian,2010,22.0,14.0,0.0,53,,200.86,15,0,0
Sebastian Vettel,German,2010,3.0,1.0,25.0,56,5628412.0,204.009,1,1,1
Mark Webber,Australian,2010,1.0,2.0,18.0,56,5633261.0,205.605,1,1,1
Nico Rosberg,German,2010,2.0,3.0,15.0,56,5641916.0,203.352,1,1,1
Robert Kubica,Polish,2010,6.0,4.0,12.0,56,5647001.0,203.466,1,1,0
Adrian Sutil,German,2010,4.0,5.0,10.0,56,5649471.0,203.288,1,1,0
Lewis Hamilton,British,2010,20.0,6.0,8.0,56,5651883.0,204.151,1,1,0
Felipe Massa,Brazilian,2010,21.0,7.0,6.0,56,5655480.0,204.07,1,1,0
Jenson Button,British,2010,17.0,8.0,4.0,56,5666330.0,202.584,1,1,0
Jaime Alguersuari,Spanish,2010,14.0,9.0,2.0,56,5699014.0,200.572,1,1,0
Nico Hülkenberg,German,2010,5.0,10.0,1.0,56,5701811.0,201.311,1,1,0
Sébastien Buemi,Swiss,2010,13.0,11.0,0.0,56,5707350.0,204.433,1,1,0
